NOMBRE,Proyecto,Cliente,Created time,ETAPA
SKYHIGH - Meta Ads,Meta Ads (https://www.notion.so/Meta-Ads-0b165e9452a74b41811a26bdfdc3c7a8?pvs=21),https://www.notion.so/5041306f1229436296b0d70f73ea410a,4 de enero de 2026 17:10,Estabilización
CCH - META,Meta Ads (https://www.notion.so/Meta-Ads-e49ef6b344544199a09f304ed02f8a7a?pvs=21),https://www.notion.so/598442a9f68347c3897cb81c3ae7ff7e,4 de enero de 2026 19:59,Optimización
RUMA - Meta Ads,Meta Ads (https://www.notion.so/Meta-Ads-d36a790aa7c64920b05689de179d4f48?pvs=21),https://www.notion.so/d56181ec85444dc0b9dbd283a4644335,4 de enero de 2026 20:04,Estabilización
MULTI-ENCOMIENDAS,Meta Ads (https://www.notion.so/Meta-Ads-2ef3d2568a8845e0a3f5ce869a4e590c?pvs=21),https://www.notion.so/2c937630fb0d4888b32b730f7fd77d42,4 de enero de 2026 20:06,Optimización
MIRIAM ROBLES,Meta Ads (https://www.notion.so/Meta-Ads-fda0bb30355149d48827dffeec2fb604?pvs=21),https://www.notion.so/9cd0d753e43b43129daf98603e86640d,4 de enero de 2026 20:07,Optimización
CELESTE,Meta Ads (https://www.notion.so/Meta-Ads-9969cce92ec84899a30c1f8111399222?pvs=21),https://www.notion.so/2370bddfd5aa48dab8a50ef9ce617505,4 de enero de 2026 20:08,Optimización
"GYMEX ",Meta Ads (https://www.notion.so/Meta-Ads-1813f91ee6148056973fd86537fb1457?pvs=21),https://www.notion.so/8259a87ae72a43368571e5c22d845be0,4 de enero de 2026 20:11,Optimización
ADN GYM (4 sucursales),Meta Ads (https://www.notion.so/Meta-Ads-1a03f91ee61480b5adf3c22d35cfba12?pvs=21),https://www.notion.so/1823f91ee61481ad92a0d83c193e2f4c,4 de enero de 2026 20:11,Optimización
EDIMEX,Meta Ads (https://www.notion.so/Meta-Ads-46bda59056eb48f89dd806a3a9682a81?pvs=21),https://www.notion.so/3deaabf742ef45079f6b3ce667c5ebac,4 de enero de 2026 20:11,Pausado
"SER RIZADA ",Meta Ads (https://www.notion.so/Meta-Ads-2923f91ee614805da93fe863cf8587a2?pvs=21),https://www.notion.so/1f33f91ee6148071a505ca331a686112,4 de enero de 2026 20:12,Optimización
ICONA,Meta Ads (https://www.notion.so/Meta-Ads-2873f91ee61480288f3dc46cb4a7631c?pvs=21),https://www.notion.so/2303f91ee61481719561ce76b2cc62ae,4 de enero de 2026 20:12,TERMINADO
POLIESTIRENOS,Meta Ads (https://www.notion.so/Meta-Ads-2f03f91ee61480e48fa9f5b6b9a0b0a9?pvs=21),https://www.notion.so/28f3f91ee614811d87c8f726799791ef,4 de enero de 2026 20:12,Optimización
SPRINKLER REPAIR,Meta Ads (https://www.notion.so/Meta-Ads-3173f91ee614803cbd5adbd63f95782f?pvs=21),https://www.notion.so/2e23f91ee614814689dcc3da04092cef,15 de enero de 2026 1:57,Optimización
CQ ARCOS,Meta Ads (https://www.notion.so/Meta-Ads-3133f91ee614808ea50ae619a395495d?pvs=21),https://www.notion.so/3a71f945db034907aada6b3a73d1cdf3,19 de enero de 2026 22:10,Optimización
Replica Watch Lab,Checklist de Arranque Proyecto (https://www.notion.so/Checklist-de-Arranque-Proyecto-2f53f91ee61480ee978fc5c3f53bfb4c?pvs=21),https://www.notion.so/2f53f91ee61480168b9ae141742d4b16,4 de febrero de 2026 18:51,TERMINADO
Alejandra Figueroa,Meta Ads (https://www.notion.so/Meta-Ads-34f3f91ee61480dd9950ecd46230891f?pvs=21),https://www.notion.so/2f53f91ee6148057ba98d14c52111b93,5 de marzo de 2026 0:01,TERMINADO
"TANAM - Meta Ads ",Meta Ads (https://www.notion.so/Meta-Ads-35a3f91ee61480ff9aaaf49b3030bb35?pvs=21),https://www.notion.so/19e3f91ee61481f5a4ecf9e0107f1b42,31 de marzo de 2026 16:05,Testing